LowerPrey,MedPrey,UpperPrey,LowerPred,MedPred,UpperPred,Time
11,18.5,53.5,41,52,68.5,41
10.5,21,48.75,37.5,51,65.5,41.25
11.5,22,47.25,37,48,63.75,41.5
11,23,49,33.25,50,65.75,41.75
11,24.5,47,32,47.5,62,42
14,25,56,30,45,58,42.25
15.75,28,49.5,28,42.5,59,42.5
17.75,34,60,29.5,46,56.5,42.75
21,42,77,28.75,49,54.25,43
26.5,44.5,79,33.5,48.5,54,43.25
26.5,49.5,76,36,46,58,43.5
25,45,80,38.5,47,59.5,43.75
18.5,53.5,79.5,37.5,46,60.5,44
24,51,74,40,48,62,44.25
26,48,68.5,44,50,64.5,44.5
28,40,64.75,43,53,63.5,44.75
23,31,67.5,42,52,70.25,45
14.75,38,70,40.75,55,73,45.25
13,43,66,41.25,59,68,45.5
22.75,38,66,42,58.5,67,45.75
21.25,36,59.25,44,58,66,46
21.5,42,75,46.5,58,64,46.25
19.5,42,65,42,60,66.5,46.5
14.5,28,54,45,60,66,46.75
14,30.5,45,42.75,55,64.75,47
21,23,46,40,51,64,47.25
14,20,54.75,37,50,64.5,47.5
12.25,22,52,36.5,50,63,47.75
11.5,26.5,53.5,37.75,49,54.5,48
15.5,23.5,48,40,46,58,48.25
15.5,25,36.5,36.5,44,59,48.5
15,24,43.25,34,41,53.5,48.75
12.5,25,47.5,34.25,43,56.5,49
12,19,47.5,31.5,38,54.25,49.25
13,33,66,30,38,58.25,49.5
21,40,68,31,39.5,53,49.75
21,49.5,59,28,41,52,50
